,measureName,campaignName,time,measureValue
0,Vehicle.Body.Lights.IsHighBeamSwitchOn,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:15.226000000,0
1,Vehicle.Cabin.HVAC.AQILevel,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:15.317000000,0
2,Vehicle.Cabin.HVAC.AQIValue,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:15.317000000,3
3,Vehicle.Cabin.HVAC.AmbientAirTemperature,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:15.319000000,26.0
4,Vehicle.Cabin.HVAC.DominantPollutantValue,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:15.317000000,1
5,Vehicle.Cabin.HVAC.IsAirConditioningActive,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:15.319000000,1
6,Vehicle.Chassis.Accelerator.PedalPosition,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:15.323000000,0.0
7,Vehicle.Chassis.Axle.Row1.Wheel.Left.Tire.Pressure,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:15.290000000,0.0
8,Vehicle.Chassis.Axle.Row1.Wheel.Right.Tire.Pressure,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:15.290000000,0.0
9,Vehicle.Chassis.Axle.Row2.Wheel.Left.Tire.Pressure,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:15.290000000,0.0
10,Vehicle.Chassis.Axle.Row2.Wheel.Right.Tire.Pressure,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:15.290000000,0.0
11,Vehicle.Chassis.Brake.PedalPosition,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:15.323000000,1.0
12,Vehicle.Chassis.ParkingBrake.IsEngaged,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:15.313000000,1
13,Vehicle.IgnitionStatus,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:15.273000000,0.0
14,Vehicle.Exterior.AirTemperature,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:15.313000000,31.0
